,num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
0,1; ABC; 10/2/2022; 2:48:2; 0; 600; 0; 0; 0; 0; 0.00; 0.00; 0.00; 44330.00
1,2; ABC; 10/2/2022; 2:58:11; 601; 600; 4545; 174720; 4673; 534; 0.00; 0.00; 0.00; 44330.00
2,3; ABC; 10/2/2022; 3:8:12; 1202; 600; 6638; 300345; 6676; 573; 0.00; 0.00; 0.00; 44330.00
3,4; ABC; 10/2/2022; 3:18:13; 1802; 600; 8868; 403954; 7887; 563; 0.00; 0.00; 0.00; 44330.00
4,5; ABC; 10/2/2022; 3:28:13; 2403; 600; 10344; 470594; 8900; 620; 0.00; 0.00; 0.00; 44330.00
5,6; ABC; 10/2/2022; 3:38:14; 3003; 600; 11622; 522491; 9876; 564; 0.00; 0.00; 0.00; 44330.00
6,7; ABC; 10/2/2022; 3:48:14; 3603; 600; 12250; 541267; 9712; 582; 0.00; 0.00; 0.00; 44330.00
7,8; ABC; 10/2/2022; 3:58:15; 4204; 600; 12525; 545130; 9233; 632; 0.00; 0.00; 0.00; 44330.00
8,9; ABC; 10/2/2022; 4:8:15; 4804; 600; 12665; 546909; 8787; 588; 0.00; 0.00; 0.00; 44330.00
9,10; ABC; 10/2/2022; 4:18:15; 5404; 600; 12820; 557891; 9107; 611; 0.00; 0.00; 0.00; 44330.00
10,11; ABC; 10/2/2022; 4:28:15; 6004; 600; 12775; 551259; 8648; 574; 0.00; 0.00; 0.00; 44330.00
11,12; ABC; 10/2/2022; 4:38:15; 6604; 600; 11932; 511168; 6692; 620; 0.00; 0.00; 0.00; 44330.00
12,13; ABC; 10/2/2022; 4:48:15; 7204; 600; 11168; 474943; 5474; 582; 0.00; 0.00; 0.00; 44330.00
13,14; ABC; 10/2/2022; 4:58:16; 7805; 600; 10644; 452840; 4882; 544; 0.00; 0.00; 0.00; 44330.00
14,15; ABC; 10/2/2022; 5:8:17; 8405; 600; 10194; 432405; 4624; 575; 0.00; 0.00; 0.00; 44330.00
15,16; ABC; 10/2/2022; 5:18:17; 9006; 600; 10028; 428073; 4470; 550; 0.00; 0.00; 0.00; 44330.00
16,17; ABC; 10/2/2022; 5:28:17; 9606; 600; 9927; 424686; 4327; 541; 0.00; 0.00; 0.00; 44330.00
17,18; ABC; 10/2/2022; 5:38:18; 10206; 600; 10287; 432235; 4539; 579; 0.00; 0.00; 0.00; 44330.00
18,19; ABC; 10/2/2022; 5:48:18; 10807; 600; 10249; 436991; 4482; 581; 0.00; 0.00; 0.00; 44330.00
19,20; ABC; 10/2/2022; 5:58:18; 11407; 600; 9988; 424405; 4160; 514; 0.00; 0.00; 0.00; 44330.00
20,21; ABC; 10/2/2022; 6:8:18; 12007; 600; 9888; 417292; 4193; 561; 0.00; 0.00; 0.00; 44330.00
21,22; ABC; 10/2/2022; 6:18:18; 12607; 600; 9778; 416648; 4111; 542; 0.00; 0.00; 0.00; 44330.00
22,23; ABC; 10/2/2022; 6:28:18; 13207; 600; 9777; 415135; 4273; 531; 0.00; 0.00; 0.00; 44330.00
23,24; ABC; 10/2/2022; 6:38:18; 13807; 600; 10109; 425290; 4564; 615; 0.00; 0.00; 0.00; 44330.00
24,25; ABC; 10/2/2022; 6:48:18; 14407; 600; 10085; 427485; 4407; 572; 0.00; 0.00; 0.00; 44330.00
25,1; ABC; 10/2/2022; 11:26:32; 0; 600; 0; 0; 0; 0; 0.00; 0.00; 0.00; 44330.00
26,2; ABC; 10/2/2022; 11:36:40; 600; 600; 4961; 186212; 5048; 535; 0.00; 0.00; 0.00; 44330.00
27,3; ABC; 10/2/2022; 11:46:41; 1200; 600; 6949; 298945; 8705; 600; 0.00; 0.00; 0.00; 44330.00
28,4; ABC; 10/2/2022; 11:56:41; 1800; 600; 9088; 417668; 13673; 596; 0.00; 0.00; 0.00; 44330.00
29,5; ABC; 10/2/2022; 12:6:41; 2401; 600; 11545; 514998; 18277; 662; 0.00; 0.00; 0.00; 44330.00
30,6; ABC; 10/2/2022; 12:16:42; 3001; 600; 13176; 582630; 21697; 600; 0.00; 0.00; 0.00; 44330.00
31,7; ABC; 10/2/2022; 12:26:42; 3602; 600; 14673; 628309; 24482; 663; 0.00; 0.00; 0.00; 44330.00
32,8; ABC; 10/2/2022; 12:36:43; 4202; 600; 15419; 660436; 26298; 620; 0.00; 0.00; 0.00; 44330.00
33,9; ABC; 10/2/2022; 12:46:42; 4802; 600; 15942; 682749; 27605; 664; 0.00; 0.00; 0.00; 44330.00
34,10; ABC; 10/2/2022; 12:56:43; 5402; 600; 16542; 696914; 27971; 611; 0.00; 0.00; 0.00; 44330.00
35,11; ABC; 10/2/2022; 13:6:43; 6002; 600; 16755; 702065; 28293; 603; 0.00; 0.00; 0.00; 44330.00
36,12; ABC; 10/2/2022; 13:16:43; 6602; 600; 16948; 710179; 28849; 641; 0.00; 0.00; 0.00; 44330.00
37,13; ABC; 10/2/2022; 13:26:43; 7202; 600; 16864; 705414; 28434; 618; 0.00; 0.00; 0.00; 44330.00
38,14; ABC; 10/2/2022; 13:36:43; 7802; 600; 16583; 706614; 29061; 612; 0.00; 0.00; 0.00; 44330.00
39,15; ABC; 10/2/2022; 13:46:43; 8402; 600; 16624; 704175; 29209; 634; 0.00; 0.00; 0.00; 44330.00
40,16; ABC; 10/2/2022; 13:56:43; 9002; 600; 16735; 703300; 29617; 594; 0.00; 0.00; 0.00; 44330.00
41,17; ABC; 10/2/2022; 14:6:43; 9602; 600; 16543; 706386; 30100; 675; 0.00; 0.00; 0.00; 44330.00
42,18; ABC; 10/2/2022; 14:16:43; 10202; 600; 16604; 709764; 30581; 622; 0.00; 0.00; 0.00; 44330.00
43,19; ABC; 10/2/2022; 14:26:43; 10802; 600; 16514; 711425; 31258; 636; 0.00; 0.00; 0.00; 44330.00
44,20; ABC; 10/2/2022; 14:36:43; 11402; 600; 16660; 717657; 32095; 636; 0.00; 0.00; 0.00; 44330.00
45,21; ABC; 10/2/2022; 14:46:44; 12003; 600; 16829; 721715; 32564; 658; 0.00; 0.00; 0.00; 44330.00
46,22; ABC; 10/2/2022; 14:56:44; 12603; 600; 16960; 722726; 32416; 622; 0.00; 0.00; 0.00; 44330.00
